Air Pollutant Index Api,Selected Stations,Year,Value
Max.,"Kota Kinabalu, Sabah ",2012,61
Max.,"Kota Kinabalu, Sabah ",2013,90
Max.,"Kota Kinabalu, Sabah ",2014,59
Max.,"Kota Kinabalu, Sabah ",2015,75
Max.,"Kota Kinabalu, Sabah ",2016,73
Max.,"Kota Kinabalu, Sabah ",2017,136
Max.,"Kota Kinabalu, Sabah ",2018,90
Max.,"Kota Kinabalu, Sabah ",2019,252
Max.,"Miri, Sarawak",2000,79
Max.,"Miri, Sarawak",2001,84
Max.,"Miri, Sarawak",2002,126
Max.,"Miri, Sarawak",2003,86
Max.,"Miri, Sarawak",2004,77
Max.,"Miri, Sarawak",2005,133
Max.,"Miri, Sarawak",2006,104
Max.,"Miri, Sarawak",2007,73
Max.,"Miri, Sarawak",2008,76
Max.,"Miri, Sarawak",2009,179
Max.,"Miri, Sarawak",2010,89
Max.,"Miri, Sarawak",2011,96
Max.,"Miri, Sarawak",2012,97
Max.,"Miri, Sarawak",2013,93
Max.,"Miri, Sarawak",2014,84
Max.,"Miri, Sarawak",2015,99
Max.,"Miri, Sarawak",2016,149
Max.,"Miri, Sarawak",2017,82
Max.,"Miri, Sarawak",2018,83
Max.,"Miri, Sarawak",2019,188
Min.,"Cheras, Kuala Lumpur",2000,13
Min.,"Cheras, Kuala Lumpur",2001,16
Min.,"Cheras, Kuala Lumpur",2002,11
Min.,"Cheras, Kuala Lumpur",2003,11
Min.,"Cheras, Kuala Lumpur",2004,32
Min.,"Cheras, Kuala Lumpur",2005,5
Min.,"Cheras, Kuala Lumpur",2006,5
Min.,"Cheras, Kuala Lumpur",2007,4
Min.,"Cheras, Kuala Lumpur",2008,8
Min.,"Cheras, Kuala Lumpur",2009,4
Min.,"Cheras, Kuala Lumpur",2010,26
Min.,"Cheras, Kuala Lumpur",2011,11
Min.,"Cheras, Kuala Lumpur",2012,4
Min.,"Cheras, Kuala Lumpur",2013,22
Min.,"Cheras, Kuala Lumpur",2014,3
Min.,"Cheras, Kuala Lumpur",2015,9
